Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,41,1,1,1,4,1,1,16,3,4,1,5,2,48,5,0,0,0,0,300,3.25,3,2,2.5,0,4,2,2,3,4,1,90000,2,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
2,41,0,1,0,4,0,1,12,2,3,1,4,1,25,2,0,0,1,0,0,2.5,3,3,3.5,0,3,8,7,3,4,1,60000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,29,0,0,0,3,0,1,9,2,0,1,3,1,70,2,1,0,0,0,300,6.5,1,1.5,4,0,3,7,5,3,4,0,124550,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,41,1,1,0,4,0,1,12,3,0,1,5,1,60,2,0,0,1,0,60,8,3,3,3.5,0,4,6,5,3,4,0,300000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,38,0,1,0,4,0,1,12,3,0,1,3,1,96,2,0,0,1,0,600,7.5,4,1.5,2,0,3,7,8,3,4,0,300000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,29,0,1,0,5,0,1,9,2,0,1,3,1,6,2,0,0,1,0,5,5.75,4,3,3.5,0,1,9,9,3,4,1,80000,2,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
1,38,0,1,0,2,0,1,9,0,0,1,3,1,70,2,1,0,1,0,420,6.5,3,3.5,4,0,3,8,6,4,2,1,80000,3,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
2,38,1,0,0,6,0,1,6,3,3,1,3,1,80,2,1,0,0,0,180,4,3,4,4.5,0,4,6,5,3,2,1,150000,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,41,0,0,0,6,0,1,9,3,3,1,4,1,15,2,1,0,0,0,0,6.75,3,3,4,0,3,10,8,4,3,1,150000,3,2,62106,10784.79538,2.058298123,0.14573039,0.7231667
2,33,0,1,0,4,1,1,15,3,1,1,3,1,48,5,0,0,0,0,480,4,2,2.5,3,0,3,7,6,3,4,1,240000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,28,0,1,0,4,0,1,6,1,3,1,3,1,63,1,0,0,1,0,40,5,2,2.5,2.5,0,2,10,10,2,2,0,24000,1,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,40,0,0,0,5,0,1,6,4,3,1,4,1,35,1,0,0,0,0,60,7.5,2,2,4,0,3,8,8,1,3,1,70000,2,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
3,42,0,1,0,1,0,1,9,3,0,1,4,1,48,5,0,0,1,0,360,6,3,2.5,4.5,0,3,8,8,2,4,0,75000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,38,0,1,0,4,0,1,12,3,3,1,3,0,0,1,0,0,0,0,60,6.5,2,3,3,0,3,8,8,3,3,0,60000,3,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
3,48,1,1,0,4,1,1,12,2,0,1,3,1,40,4,0,0,1,0,120,2,1,3,3,0,2,6,8,3,4,0,75000,3,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
1,46,0,1,0,4,1,1,12,2,0,0,5,1,60,5,1,1,0,0,30,2.25,1,2,2,0,2,10,7,1,4,0,75000,3,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,49,1,0,1,2,0,1,9,4,0,1,5,2,40,2,1,0,1,1,180,6,3,1,5,0,4,10,8,4,2,1,80000,3,2,73598,13615.39976,2.419983628,0.14213363,0.7547863
2,42,1,0,0,4,0,1,9,0,7,1,5,1,50,5,0,0,1,0,180,4.75,3,3,3,1,2,8,7,3,4,0,350000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,42,0,0,0,4,0,1,16,0,7,1,4,1,53,5,0,0,1,0,480,6,4,2,3.5,0,3,4,4,2,3,0,350000,4,1,101905,14642.55353,2.411433172,0.11107676,0.7108617
2,44,1,1,0,6,1,0,9,7,0,1,5,1,70,1,1,0,0,0,300,4,3,1.5,3,0,4,8,7,5,2,1,68400,3,3,52164,11676.87735,2.277462284,0.12426451,0.7997813
2,37,0,1,0,6,0,0,9,7,0,0,4,1,70,1,0,0,0,0,60,6.5,2,1,3,0,4,7,5,3,4,1,68400,3,3,52164,11676.87735,2.277462284,0.12426451,0.7997813
2,34,0,1,1,4,1,0,16,2,0,1,5,2,35,5,0,0,1,1,360,8.5,4,1.5,4,0,4,7,8,3,4,1,200000,4,3,52164,11676.87735,2.277462284,0.12426451,0.7997813
3,33,1,0,1,6,0,0,0,2,0,1,5,1,56,2,1,0,0,1,120,3.25,3,1,5,0,3,10,0,3,2,1,30000,1,3,67777,14228.15859,2.315392031,0.13139986,0.5970018
3,31,0,0,1,6,0,0,0,2,0,1,5,1,30,1,1,0,0,1,30,5.25,1,1,5,0,3,0,0,5,5,1,30000,1,3,67777,14228.15859,2.315392031,0.13139986,0.5970018
