Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,fam_eduratio,house,fam_income,fam_income_rel,area,reg_svc,reg_urgap,reg_edu
2,41,0,0,0,6,0,1,9,3,3,1,4,1,15,2,1,0,0,0,0,6.75 ,3,3.00 ,4.00 ,0,3,10,8,4,3,0.000 ,1,150000,3,2,10784.7954 ,2.058 ,16.9900 
2,33,0,1,0,4,1,1,15,3,1,1,3,1,48,5,0,0,0,0,480,4.00 ,2,2.50 ,3.00 ,0,3,7,6,3,4,0.000 ,1,240000,4,1,14642.5535 ,2.411 ,15.9900 
2,28,0,1,0,4,0,1,6,1,3,1,3,1,63,1,0,0,1,0,40,5.00 ,2,2.50 ,2.50 ,0,2,10,10,2,2,0.600 ,0,24000,1,1,14642.5535 ,2.411 ,15.9900 
2,40,0,0,0,5,0,1,6,4,3,1,4,1,35,1,0,0,0,0,60,7.50 ,2,2.00 ,4.00 ,0,3,8,8,1,3,0.000 ,1,70000,2,1,14642.5535 ,2.411 ,15.9900 
3,42,0,1,0,1,0,1,9,3,0,1,4,1,48,5,0,0,1,0,360,6.00 ,3,2.50 ,4.50 ,0,3,8,8,2,4,0.000 ,0,75000,4,1,14642.5535 ,2.411 ,15.9900 
2,38,0,1,0,4,0,1,12,3,3,1,3,0,0,1,0,0,0,0,60,6.50 ,2,3.00 ,3.00 ,0,3,8,8,3,3,0.200 ,0,60000,3,2,13615.3998 ,2.420 ,26.7600 
3,48,1,1,0,4,1,1,12,2,0,1,3,1,40,4,0,0,1,0,120,2.00 ,1,3.00 ,3.00 ,0,2,6,8,3,4,0.500 ,0,75000,3,1,14642.5535 ,2.411 ,15.9900 
0,46,0,1,0,4,1,1,12,2,0,0,5,1,60,5,1,1,0,0,30,2.25 ,1,2.00 ,2.00 ,0,2,10,7,1,4,0.500 ,0,75000,3,1,14642.5535 ,2.411 ,15.9900 
2,49,1,0,1,2,0,1,9,4,0,1,5,2,40,2,1,0,1,1,180,6.00 ,3,1.00 ,5.00 ,0,4,10,8,4,2,0.000 ,1,80000,3,2,13615.3998 ,2.420 ,26.7600 
2,42,1,0,0,4,0,1,9,0,7,1,5,1,50,5,0,0,1,0,180,4.75 ,3,3.00 ,3.00 ,1,2,8,7,3,4,0.500 ,0,350000,4,1,14642.5535 ,2.411 ,15.9900 
2,42,0,0,0,4,0,1,16,0,7,1,4,1,53,5,0,0,1,0,480,6.00 ,4,2.00 ,3.50 ,0,3,4,4,2,3,0.500 ,0,350000,4,1,14642.5535 ,2.411 ,15.9900 
2,44,1,1,0,6,1,0,9,7,0,1,5,1,70,1,1,0,0,0,300,4.00 ,3,1.50 ,3.00 ,0,4,8,7,5,2,0.057 ,1,68400,3,3,11676.8774 ,2.277 ,13.0000 
2,37,0,1,0,6,0,0,9,7,0,0,4,1,70,1,0,0,0,0,60,6.50 ,2,1.00 ,3.00 ,0,4,7,5,3,4,0.057 ,1,68400,3,3,11676.8774 ,2.277 ,13.0000 
2,34,0,1,1,4,1,0,16,2,0,1,5,2,35,5,0,0,1,1,360,8.50 ,4,1.50 ,4.00 ,0,4,7,8,3,4,0.000 ,1,200000,4,3,11676.8774 ,2.277 ,13.0000 
4,33,1,0,1,6,0,0,0,2,0,1,5,1,56,2,1,0,0,1,120,3.25 ,3,1.00 ,5.00 ,0,3,10,0,3,2,0.250 ,1,30000,1,3,14228.1586 ,2.315 ,17.7200 
4,31,0,0,1,6,0,0,0,2,0,1,5,1,30,1,1,0,0,1,30,5.25 ,1,1.00 ,5.00 ,0,3,0,0,5,5,0.250 ,1,30000,1,3,14228.1586 ,2.315 ,17.7200 
2,43,1,0,0,4,0,1,12,0,3,1,5,1,30,1,0,0,0,0,120,7.75 ,3,3.50 ,3.00 ,0,3,7,6,4,4,0.000 ,1,80000,2,1,14642.5535 ,2.411 ,15.9900 
3,42,0,1,0,5,0,1,9,1,3,1,5,1,50,1,0,0,1,0,60,6.00 ,3,1.50 ,3.00 ,0,4,9,8,4,4,0.067 ,1,300000,4,1,14642.5535 ,2.411 ,15.9900 
2,43,1,1,0,5,0,1,12,1,3,1,5,1,60,5,0,0,1,1,60,6.25 ,4,1.00 ,5.00 ,0,4,8,7,3,4,0.067 ,1,300000,4,1,14642.5535 ,2.411 ,15.9900 
2,37,0,1,0,6,0,1,9,1,0,1,4,2,60,5,0,0,1,0,30,4.50 ,3,3.00 ,4.00 ,0,4,8,5,3,4,0.125 ,1,100000,2,3,11676.8774 ,2.277 ,13.0000 
2,27,0,1,1,5,0,1,15,4,3,1,5,2,28,2,1,0,1,1,300,8.25 ,3,2.50 ,2.50 ,0,4,7,7,3,4,0.500 ,1,70000,2,3,15174.6888 ,2.997 ,17.6800 
2,35,0,1,0,4,0,1,15,8,3,1,3,0,0,2,0,0,0,0,60,5.00 ,3,3.50 ,3.00 ,0,3,6,5,3,4,0.340 ,1,80000,2,3,17090.4449 ,2.702 ,30.3200 
2,35,1,0,0,4,0,1,9,3,0,1,5,1,40,1,1,0,0,0,50,4.25 ,3,3.00 ,3.00 ,0,5,5,5,2,4,0.013 ,1,60000,2,2,10784.7954 ,2.058 ,16.9900 
2,31,0,0,0,7,0,1,9,0,3,1,4,0,0,2,0,0,0,0,120,6.00 ,1,2.50 ,3.00 ,0,3,7,6,4,4,0.050 ,1,150000,2,3,17083.3066 ,3.089 ,19.0900 
2,26,0,1,0,2,0,1,9,2,0,1,4,2,10,5,0,1,1,0,120,4.50 ,4,4.00 ,3.50 ,0,4,5,5,4,2,0.150 ,0,128000,4,2,13615.3998 ,2.420 ,26.7600 
2,26,0,1,0,4,0,1,9,1,3,1,5,1,56,5,0,0,0,0,240,4.50 ,1,2.00 ,1.50 ,0,5,5,8,3,3,0.042 ,1,100000,3,3,26422.1106 ,2.321 ,30.0500 
1,36,0,1,1,3,1,1,16,0,1,1,3,1,10,2,0,0,0,0,120,6.75 ,3,3.00 ,2.00 ,0,4,8,8,5,4,0.033 ,1,400000,4,3,17083.3066 ,3.089 ,19.0900 
2,40,1,0,0,5,0,1,9,2,3,1,5,1,50,2,1,1,1,0,180,6.00 ,3,2.50 ,3.00 ,0,3,10,10,3,4,0.167 ,0,200000,4,1,11934.1041 ,2.218 ,20.5300 
2,38,0,0,0,5,0,1,6,2,3,1,5,0,0,1,0,0,0,0,360,5.50 ,3,3.50 ,3.00 ,0,4,4,3,3,4,0.167 ,0,200000,4,1,11934.1041 ,2.218 ,20.5300 
2,36,0,1,0,4,0,1,9,0,0,1,5,1,8,1,0,0,0,0,300,6.25 ,5,1.00 ,4.00 ,0,4,10,10,4,5,0.100 ,0,120000,3,1,17500.1409 ,2.113 ,27.9800 
2,47,1,0,0,4,0,1,12,9,3,1,4,0,0,2,0,1,1,0,30,4.50 ,2,2.00 ,1.00 ,0,2,8,3,1,2,0.100 ,0,40000,1,3,17083.3066 ,3.089 ,19.0900 
1,36,1,1,1,3,1,1,9,0,3,1,5,1,70,2,0,0,0,0,120,4.25 ,3,3.00 ,3.00 ,0,1,10,10,3,1,0.333 ,1,100000,3,3,14276.1347 ,2.784 ,13.4500 
2,30,0,1,0,5,0,0,15,2,3,0,4,1,40,5,1,0,0,0,240,5.75 ,3,2.00 ,3.50 ,0,4,8,9,4,4,0.013 ,0,96000,2,3,14276.1347 ,2.784 ,13.4500 
2,50,1,0,0,6,0,1,0,2,0,1,4,1,42,2,1,0,1,0,0,4.25 ,4,4.00 ,4.50 ,0,3,3,5,3,2,0.000 ,1,6000,1,3,17083.3066 ,3.089 ,19.0900 
2,48,0,0,0,6,0,1,0,2,0,1,5,1,6,2,0,0,1,0,120,4.50 ,5,5.00 ,3.00 ,0,2,5,5,3,5,0.000 ,1,6000,1,3,17083.3066 ,3.089 ,19.0900 
2,47,1,1,1,4,0,0,6,2,3,1,5,1,56,2,1,0,0,1,60,7.00 ,3,1.00 ,5.00 ,0,2,10,2,3,3,0.000 ,1,100000,3,3,14276.1347 ,2.784 ,13.4500 
