Y,age,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility,fam_income1
2,38,0,1,0,4,0,1,12,3,3,1,3,0,0,1,0,0,0,0,60,7,2,3,3,0,3,8,8,3,3,0,3,2,73598,13615,2,0,1,11
3,48,1,1,0,4,1,1,12,2,0,1,3,1,40,4,0,0,1,0,120,2,1,3,3,0,2,6,8,3,4,0,3,1,101905,14643,2,0,1,11
1,46,0,1,0,4,1,1,12,2,0,0,5,1,60,5,1,1,0,0,30,2,1,2,2,0,2,10,7,1,4,0,3,1,101905,14643,2,0,1,11
2,49,1,0,1,2,0,1,9,4,0,1,5,2,40,2,1,0,1,1,180,6,3,1,5,0,4,10,8,4,2,1,3,2,73598,13615,2,0,1,11
2,42,1,0,0,4,0,1,9,0,7,1,5,1,50,5,0,0,1,0,180,5,3,3,3,1,2,8,7,3,4,0,4,1,101905,14643,2,0,1,13
2,42,0,0,0,4,0,1,16,0,7,1,4,1,53,5,0,0,1,0,480,6,4,2,4,0,3,4,4,2,3,0,4,1,101905,14643,2,0,1,13
2,44,1,1,0,6,1,0,9,7,0,1,5,1,70,1,1,0,0,0,300,4,3,2,3,0,4,8,7,5,2,1,3,3,52164,11677,2,0,1,11
2,37,0,1,0,6,0,0,9,7,0,0,4,1,70,1,0,0,0,0,60,7,2,1,3,0,4,7,5,3,4,1,3,3,52164,11677,2,0,1,11
2,34,0,1,1,4,1,0,16,2,0,1,5,2,35,5,0,0,1,1,360,9,4,2,4,0,4,7,8,3,4,1,4,3,52164,11677,2,0,1,12
3,33,1,0,1,6,0,0,0,2,0,1,5,1,56,2,1,0,0,1,120,3,3,1,5,0,3,10,0,3,2,1,1,3,67777,14228,2,0,1,10
3,31,0,0,1,6,0,0,0,2,0,1,5,1,30,1,1,0,0,1,30,5,1,1,5,0,3,0,0,5,5,1,1,3,67777,14228,2,0,1,10
2,43,1,0,0,4,0,1,12,0,3,1,5,1,30,1,0,0,0,0,120,8,3,4,3,0,3,7,6,4,4,1,2,1,101905,14643,2,0,1,11
3,42,0,1,0,5,0,1,9,1,3,1,5,1,50,1,0,0,1,0,60,6,3,2,3,0,4,9,8,4,4,1,4,1,101905,14643,2,0,1,13
2,43,1,1,0,5,0,1,12,1,3,1,5,1,60,5,0,0,1,1,60,6,4,1,5,0,4,8,7,3,4,1,4,1,101905,14643,2,0,1,13
2,37,0,1,0,6,0,1,9,1,0,1,4,2,60,5,0,0,1,0,30,5,3,3,4,0,4,8,5,3,4,1,2,3,52164,11677,2,0,1,12
2,27,0,1,1,5,0,1,15,4,3,1,5,2,28,2,1,0,1,1,300,8,3,3,3,0,4,7,7,3,4,1,2,3,52321,15175,3,0,1,11
