Y,gender,urban,party,fam_size,hukou,ethno,education,age_gap,edu_gap,gender_pref,mar_satisfy,work,work_hour,insurance,care_from_par,fin_from_par,fin_par,care_par,internet,social_trust,social_status,fixed_mind,growth_mind,religion,gover_evalu,reg_eldercare,reg_childcare,health,reg_medicare,house,fam_income,fam_income_rel,area,reg_econ,reg_svc,reg_urgap,reg_eduratio,reg_mobility
2,1,0,0,6,0,0,9,3,0,0,5,1,84,2,1,0,1,1,60,2.50 ,3,5.00 ,5.00 ,0,3,10,10,5,1,1,40000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,6,0,0,9,3,0,0,5,1,63,2,0,0,0,1,0,3.00 ,2,3.00 ,5.00 ,0,1,6,6,3,1,1,40000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,5,0,0,9,2,0,1,5,1,30,2,0,0,1,0,0,6.50 ,3,2.00 ,2.50 ,0,5,3,5,3,4,1,60000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,0,0,0,5,0,0,9,2,0,1,5,2,56,2,0,0,0,0,60,4.50 ,1,3.50 ,4.50 ,0,4,6,1,3,4,1,60000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,0,0,3,0,0,12,0,6,1,5,1,42,2,0,1,1,1,30,4.50 ,2,5.00 ,1.50 ,0,4,5,5,3,4,1,60000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,3,0,0,6,0,6,1,5,2,45,4,0,1,1,0,0,5.00 ,3,5.00 ,2.00 ,0,3,8,5,3,4,1,60000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,4,0,0,6,2,0,1,3,1,28,2,0,0,1,1,180,4.50 ,3,3.00 ,4.50 ,0,3,5,5,2,4,1,70000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
3,1,0,0,6,0,0,9,3,9,1,5,1,84,2,0,0,0,0,120,6.25 ,3,3.00 ,5.00 ,0,3,5,5,3,2,1,80000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,6,0,0,9,2,0,1,5,1,20,2,0,0,0,0,120,4.50 ,4,2.50 ,4.00 ,0,4,4,5,3,5,1,30000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,5,0,0,9,2,3,1,5,1,56,2,0,0,0,0,120,5.50 ,3,3.00 ,5.00 ,0,3,10,10,5,4,1,50000,3,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,2,0,0,0,9,0,1,5,1,28,2,0,0,0,0,240,3.75 ,3,3.00 ,4.00 ,0,3,8,8,3,4,1,4000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,4,0,0,9,3,3,1,4,1,80,2,0,0,0,0,120,7.00 ,4,1.00 ,2.00 ,0,3,6,7,3,4,1,135000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,2,0,0,9,1,9,0,4,1,60,2,0,0,1,1,0,5.50 ,3,3.00 ,4.00 ,0,4,8,8,5,4,1,36000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,5,0,0,12,1,0,1,4,2,50,2,1,0,1,1,120,8.25 ,3,3.00 ,4.00 ,0,4,6,6,4,4,1,114000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,5,0,0,12,1,0,1,3,1,6,2,0,0,0,0,90,6.25 ,1,3.00 ,3.00 ,0,4,10,5,3,4,1,114000,2,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,0,0,6,0,0,9,2,9,1,4,1,48,5,1,1,0,1,120,5.00 ,5,5.00 ,4.50 ,0,4,8,3,3,3,1,50000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,6,0,0,0,2,9,1,4,1,48,2,0,0,1,0,0,5.00 ,2,3.50 ,2.50 ,0,2,10,8,2,4,1,50000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,0,0,5,0,0,6,1,0,1,3,1,48,2,0,0,1,0,0,4.75 ,3,3.00 ,4.00 ,0,3,6,5,1,4,1,5000,1,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,1,1,0,2,1,1,16,3,1,1,5,2,40,2,0,0,1,0,120,5.75 ,3,4.00 ,2.00 ,0,1,8,6,3,4,0,240000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
2,0,1,1,3,1,1,16,2,0,1,3,2,40,5,0,1,1,1,300,2.50 ,2,3.50 ,3.00 ,0,4,5,3,3,4,1,300000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
1,1,1,0,3,1,1,12,5,4,1,5,2,48,2,0,0,1,0,120,7.75 ,4,1.00 ,5.00 ,0,2,10,10,5,5,1,135000,4,1,56995 ,12541.2938 ,2.132 ,0.148 ,0.750 
